source_entry_id,source_id,source_title,source_page,official_name_zh,official_name_en,normalized_family_key,credit_rating,point_formula,requirements_fingerprint,fuzzy_requirement,prerequisite,keeper_approval,mechanical_comparison,canonical_family_candidate,variant_candidate,implementation_status,recommended_batch,notes
handbook-78-drifter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,78,流浪者,Drifter,drifter,0-5,"EDU*2+best(APP,DEX,STR)*2",攀爬；跳跃；聆听；导航；一项社交技能（魅惑、话术、恐吓、说服）；潜行；任意两项其他个人或时代特长,yes,none,none,canonical-match-across-sources,drifter,no,production-batch-3,Batch 3 - complex / review,production_id=drifter
handbook-79-chauffeur,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,私人司机,Chauffeur,driver,10-40,EDU*2+DEX*2,汽车驾驶；两项社交技能（魅惑、话术、恐吓、说服）；聆听；机械维修；导航；侦查；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,driver,yes,production-batch-3,Batch 3 - complex / review,production_id=driver-chauffeur
handbook-79-driver,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,司机,Driver,driver,9-20,"EDU*2+best(DEX,STR)*2",会计；汽车驾驶；聆听；一项社交技能（魅惑、话术、恐吓、说服）；机械维修；导航；心理学；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,driver,yes,production-batch-3,Batch 3 - complex / review,production_id=driver-general
handbook-79-taxi-driver,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,出租车司机,Taxi Driver,driver,9-30,EDU*2+DEX*2,会计；汽车驾驶；电气维修；话术；机械维修；导航；侦查；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,driver,yes,production-batch-3,Batch 3 - complex / review,production_id=driver-taxi
handbook-79-editor,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,编辑,Editor,editor,10-30,EDU*4,会计；历史；母语；两项社交技能（魅惑、话术、恐吓、说服）；心理学；侦查；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,editor,no,production-batch-3,Batch 3 - complex / review,production_id=editor
handbook-79-elected-official,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,政府官员,Elected Official,elected-official,50-90,EDU*2+APP*2,魅惑；历史；恐吓；话术；聆听；母语；说服；心理学,no,none,none,single-source-canonical,elected-official,no,production-batch-1,Batch 1 - simple,production_id=elected-official
handbook-79-engineer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,工程师,Engineer,engineer,30-60,EDU*4,工艺（技术制图）；电气维修；图书馆；机械维修；操作重型机械；科学（工程学；物理）；任意一项其他个人或时代特长,yes,none,none,canonical-match-across-sources,engineer,no,production-batch-3,Batch 3 - complex / review,production_id=engineer
handbook-79-entertainer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,79,艺人,Entertainer,entertainer,9-70,EDU*2+APP*2,艺术（表演类；如表演、声乐、喜剧等）；乔装；两项社交技能（魅惑、话术、恐吓、说服）；聆听；心理学；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,entertainer,yes,production-batch-3,Batch 3 - complex / review,production_id=entertainer-investigator-handbook
handbook-80-explorer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,80,探险家（古典）,Explorer,explorer,55-80,"EDU*2+best(APP,DEX,STR)*2",攀爬或游泳；射击；历史；跳跃；博物学；导航；外语；生存,no,none,none,single-source-canonical,explorer,no,production-batch-2,Batch 2 - structured,production_id=explorer
handbook-80-farmer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,80,农民,Farmer,farmer,9-30,"EDU*2+best(DEX,STR)*2",工艺（耕作）；汽车驾驶（或运货马车）；一项社交技能（魅惑、话术、恐吓、说服）；机械维修；博物学；操作重型机械；追踪；任意一项其他个人或时代特长,yes,none,none,canonical-match-across-sources,farmer,no,production-batch-3,Batch 3 - complex / review,production_id=farmer
handbook-80-federal-agent,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,80,联邦探员,Federal Agent,federal-agent,20-40,EDU*4,汽车驾驶；格斗（斗殴）；射击；法律；说服；潜行；侦查；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,federal-agent,no,production-batch-3,Batch 3 - complex / review,production_id=federal-agent
handbook-80-firefighter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,80,消防员,Firefighter,firefighter,9-30,"EDU*2+best(DEX,STR)*2",攀爬；闪避；汽车驾驶；急救；跳跃；机械维修；操作重型机械；投掷,no,none,none,single-source-canonical,firefighter,no,production-batch-2,Batch 2 - structured,production_id=firefighter
handbook-80-foreign-correspondent,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,80,驻外记者,Foreign Correspondent,foreign-correspondent,10-40,EDU*4,历史；外语；母语；聆听；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,foreign-correspondent,no,production-batch-3,Batch 3 - complex / review,production_id=foreign-correspondent
handbook-80-forensic-surgeon,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,80,法医,Forensic Surgeon,forensic-surgeon,40-60,EDU*4,外语（拉丁文）；图书馆；医学；说服；科学（生物学；司法科学；药学）；侦查,no,none,none,single-source-canonical,forensic-surgeon,no,production-batch-2,Batch 2 - structured,production_id=forensic-surgeon
handbook-81-gambler,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81,赌徒,Gambler,gambler,8-50,"EDU*2+best(APP,DEX)*2",会计；艺术（表演）；两项社交技能（魅惑、话术、恐吓、说服）；聆听；心理学；妙手；侦查,no,none,none,single-source-canonical,gambler,no,production-batch-2,Batch 2 - structured,production_id=gambler
handbook-81-gangster-boss,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81,黑帮老大,Gangster Boss,gangster,60-95,EDU*2+APP*2,格斗；射击；法律；聆听；两项社交技能（魅惑、话术、恐吓、说服）；心理学；侦查,no,none,none,mechanical-variant-candidate,gangster,yes,production-batch-3,Batch 3 - complex / review,production_id=gangster-boss
handbook-81-gangster-underling,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81,马仔,Gangster Underling,gangster,9-20,"EDU*2+best(DEX,STR)*2",汽车驾驶；格斗；射击；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意两项其他个人或时代特长。※参见罪犯（打手）,yes,none,none,mechanical-variant-candidate,gangster,yes,production-batch-3,Batch 3 - complex / review,production_id=gangster-underling
handbook-81-gentleman-lady,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81,绅士、淑女,Gentleman / Lady,gentleman-lady,40-90,EDU*2+APP*2,艺术/工艺（任一）；两项社交技能（魅惑、话术、恐吓、说服）；射击（步霰）；历史；外语（任一）；导航；骑术,no,none,none,single-source-canonical,gentleman-lady,no,production-batch-2,Batch 2 - structured,production_id=gentleman-lady
handbook-81-hobo,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81,游民,Hobo,hobo,0-5,"EDU*2+best(APP,DEX)*2",艺术/工艺（任一）；攀爬；跳跃；聆听；锁匠或妙手；导航；潜行；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,hobo,no,production-batch-3,Batch 3 - complex / review,production_id=hobo
handbook-82-hospital-orderly,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,82,勤杂护工,Hospital Orderly,hospital-orderly,6-15,EDU*2+STR*2,电气维修；一项社交技能（魅惑、话术、恐吓、说服）；格斗（斗殴）；急救；聆听；机械维修；心理学；潜行,no,none,none,single-source-canonical,hospital-orderly,no,production-batch-2,Batch 2 - structured,production_id=hospital-orderly
handbook-81-82-investigative-journalist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81-82,调查记者,Investigative Journalist,journalist,9-30,EDU*4,艺术/工艺（艺术或摄影）；一项社交技能（魅惑、话术、恐吓、说服）；历史；图书馆；母语；心理学；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,journalist,yes,production-pilot,already implemented,production_id=journalist-investigative-handbook
handbook-81-82-reporter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,81-82,通讯记者,Reporter,journalist,9-30,EDU*4,艺术（表演）；历史；聆听；母语；一项社交技能（魅惑、话术、恐吓、说服）；心理学；潜行；侦查,no,none,none,mechanical-variant-candidate,journalist,yes,production-pilot,already implemented,production_id=journalist-reporter-handbook
handbook-82-judge,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,82,法官,Judge,judge,50-80,EDU*4,历史；恐吓；法律；图书馆；聆听；母语；说服；心理学,no,none,none,single-source-canonical,judge,no,production-batch-1,Batch 1 - simple,production_id=judge
handbook-82-laboratory-assistant,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,82,实验室助理,Laboratory Assistant,laboratory-assistant,10-30,EDU*4,计算机或图书馆；电气维修；外语；科学（化学和任意两项）；侦查；任意一项其他个人特长,yes,none,none,single-source-canonical,laboratory-assistant,no,production-pilot,already implemented,production_id=laboratory-assistant
handbook-82-laborer-unskilled,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,82,非熟练工人,"Laborer, Unskilled",laborer,9-30,"EDU*2+best(DEX,STR)*2",汽车驾驶；电气维修；格斗；急救；机械维修；操作重型机械；投掷；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,laborer,yes,production-batch-3,Batch 3 - complex / review,production_id=laborer-unskilled
handbook-82-lumberjack,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,82,伐木工,Lumberjack,laborer,9-30,"EDU*2+best(DEX,STR)*2",攀爬；闪避；格斗（链锯）；急救；跳跃；机械维修；博物学或科学（生物学或植物学）；投掷,no,none,none,mechanical-variant-candidate,laborer,yes,production-batch-3,Batch 3 - complex / review,production_id=laborer-lumberjack
handbook-83-miner,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,83,矿工,Miner,laborer,9-30,"EDU*2+best(DEX,STR)*2",攀爬；科学（地质）；跳跃；机械维修；操作重型机械；潜行；侦查；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,laborer,yes,production-batch-3,Batch 3 - complex / review,production_id=laborer-miner
handbook-83-lawyer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,83,律师,Lawyer,lawyer,30-80,EDU*4,会计；法律；图书馆；两项社交技能（魅惑、话术、恐吓、说服）；心理学；两项其他技能,no,none,none,canonical-match-across-sources,lawyer,no,production-batch-2,Batch 2 - structured,production_id=lawyer
handbook-83-librarian,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,83,图书馆管理员（原作向）,Librarian,librarian,9-35,EDU*4,会计；图书馆；外语；母语；任意四项其他个人特长或专业书籍主题,yes,none,none,canonical-match-across-sources,librarian,no,production-batch-3,Batch 3 - complex / review,production_id=librarian
handbook-83-mechanic-and-skilled-trades,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,83,技师,Mechanic (and Skilled Trades),mechanic,9-40,EDU*4,工艺（木工、焊接、管道工等）；攀爬；汽车驾驶；电气维修；机械维修；操作重型机械；任意两项其他个人或时代或技术特长,yes,none,none,single-source-canonical,mechanic,no,production-batch-3,Batch 3 - complex / review,production_id=mechanic
handbook-83-military-officer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,83,军官,Military Officer,military-officer,20-70,"EDU*2+best(DEX,STR)*2",会计；射击；导航；急救；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,military-officer,yes,production-batch-3,Batch 3 - complex / review,production_id=military-officer-investigator-handbook
handbook-83-84-missionary,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,83-84,传教士,Missionary,missionary,0-30,EDU*2+APP*2,艺术/工艺（任一）；急救；机械维修；医学；博物学；一项社交技能（魅惑、话术、恐吓、说服）；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,missionary,yes,production-pilot,already implemented,production_id=missionary-investigator-handbook
handbook-84-mountain-climber,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,84,登山家,Mountain Climber,mountain-climber,30-60,"EDU*2+best(DEX,STR)*2",攀爬；急救；跳跃；聆听；导航；外语；生存（阿尔卑斯或类似）；追踪,yes,none,none,single-source-canonical,mountain-climber,no,production-batch-2,Batch 2 - structured,production_id=mountain-climber
handbook-84-museum-curator,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,84,博物馆管理员,Museum Curator,museum-curator,10-30,EDU*4,会计；估价；考古；历史；图书馆；神秘学；外语；侦查,no,none,none,single-source-canonical,museum-curator,no,production-batch-1,Batch 1 - simple,production_id=museum-curator
handbook-84-musician,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,84,音乐家,Musician,musician,9-30,"EDU*2+best(DEX,POW)*2",艺术（器乐）；一项社交技能（魅惑、话术、恐吓、说服）；聆听；心理学；四项其他技能,yes,none,none,canonical-match-across-sources,musician,no,production-batch-2,Batch 2 - structured,Chinese edition note resolves the second attribute to DEX or POW; production_id=musician
handbook-84-nurse,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,84,护士,Nurse,nurse,9-30,EDU*4,急救；聆听；医学；一项社交技能（魅惑、话术、恐吓、说服）；心理学；科学（生物学；化学）；侦查,no,none,none,single-source-canonical,nurse,no,production-batch-2,Batch 2 - structured,production_id=nurse
handbook-84-occultist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,84,神秘学家,Occultist,occultist,9-65,EDU*4,人类学；历史；图书馆；一项社交技能（魅惑、话术、恐吓、说服）；神秘学；外语；科学（天文）；任意一项其他个人或时代特长※。※经过KP允许；可以包含「克苏鲁神话」技能（建议一开始限制在10%以内）,yes,none,KP may allow Cthulhu Mythos; suggested starting limit 10,single-source-canonical,occultist,no,production-batch-3,Batch 3 - complex / review,production_id=occultist
handbook-85-outdoorsman-outdoorswoman,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,85,旅行家,Outdoorsman / Outdoorswoman,outdoorsperson,5-20,"EDU*2+best(DEX,STR)*2",射击；急救；聆听；博物学；导航；侦查；生存（任一）；追踪,no,none,none,single-source-canonical,outdoorsperson,no,production-batch-2,Batch 2 - structured,production_id=outdoorsperson
handbook-85-parapsychologist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,85,超心理学家,Parapsychologist,parapsychologist,9-30,EDU*4,人类学；艺术（摄影）；历史；图书馆；神秘学；外语；心理学；任意一项其他个人或时代特长,yes,none,none,canonical-match-across-sources,parapsychologist,no,production-batch-3,Batch 3 - complex / review,production_id=parapsychologist
handbook-86-pharmacist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,86,药剂师,Pharmacist,pharmacist,35-75,EDU*4,会计；急救；外语（拉丁文）；图书馆；一项社交技能（魅惑、话术、恐吓、说服）；心理学；科学（药学；化学）,no,none,none,single-source-canonical,pharmacist,no,production-batch-2,Batch 2 - structured,production_id=pharmacist
handbook-86-photographer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,86,摄影师,Photographer,photographer,9-30,EDU*4,艺术（摄影）；一项社交技能（魅惑、话术、恐吓、说服）；心理学；科学（化学）；潜行；侦查；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,photographer,yes,production-batch-3,Batch 3 - complex / review,production_id=photographer-general
handbook-86-photojournalist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,86,摄影记者,Photojournalist,photographer,10-30,EDU*4,艺术（摄影）；攀爬；一项社交技能（魅惑、话术、恐吓、说服）；外语；心理学；科学（化学）；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,photographer,yes,production-batch-3,Batch 3 - complex / review,production_id=photographer-photojournalist
handbook-87-pilot,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,87,飞行员,Pilot,pilot,20-70,EDU*2+DEX*2,电气维修；机械维修；导航；操作重型机械；驾驶（飞行器）；科学（天文）；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate; canonical-match-across-sources,pilot,yes,production-batch-3,Batch 3 - complex / review,production_id=pilot-general
handbook-87-aviator-stunt-pilot,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,87,特技飞行员（古典）,Aviator / Stunt Pilot,pilot,30-60,EDU*4,会计；电气维修；聆听；机械维修；导航；驾驶（飞行器）；侦查；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,pilot,yes,production-batch-3,Batch 3 - complex / review,production_id=pilot-stunt
handbook-87-police-detective,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,87,警探,Police Detective,police,20-50,"EDU*2+best(DEX,STR)*2",艺术（表演）或乔装；射击；法律；聆听；一项社交技能（魅惑、话术、恐吓、说服）；心理学；侦查；一项其他技能,no,none,none,mechanical-variant-candidate; canonical-match-across-sources,police,yes,production-pilot,already implemented,production_id=police-detective
handbook-87-uniformed-police-officer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,87,警官,Uniformed Police Officer,police,9-30,"EDU*2+best(DEX,STR)*2",格斗（斗殴）；射击；急救；一项社交技能（魅惑、话术、恐吓、说服）；法律；心理学；侦查和下面的一种个人特长：汽车驾驶或骑术,yes,none,none,mechanical-variant-candidate; canonical-match-across-sources,police,yes,production-batch-2,Batch 2 - structured,production_id=police-officer
handbook-87-private-investigator,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,87,私家侦探,Private Investigator,private-investigator,9-30,"EDU*2+best(DEX,STR)*2",艺术（摄影）；乔装；法律；图书馆；一项社交技能（魅惑、话术、恐吓、说服）；心理学；侦查；一项其他个人或时代特长（如计算机、锁匠、格斗、射击）,yes,none,none,canonical-match-across-sources,private-investigator,no,production-batch-3,Batch 3 - complex / review,production_id=private-investigator
handbook-87-88-professor,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,87-88,教授（原作向）,Professor,professor,20-70,EDU*4,图书馆；外语；母语；心理学；任意四项其他学术、时代或个人特长,yes,none,none,canonical-match-across-sources,professor,no,production-pilot,already implemented,production_id=professor
handbook-88-prospector,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,88,淘金客,Prospector,prospector,0-10,"EDU*2+best(DEX,STR)*2",攀爬、急救、历史、机械维修、导航、科学（地质）；侦查；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,prospector,no,production-batch-3,Batch 3 - complex / review,production_id=prospector
handbook-88-prostitute,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,88,性工作者,Prostitute,sex-worker,5-50,EDU*2+APP*2,艺术/工艺（任一）；两项社交技能（魅惑、话术、恐吓、说服）；闪避；心理学；妙手；潜行；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,sex-worker,no,production-batch-3,Batch 3 - complex / review,production_id=sex-worker
handbook-88-psychiatrist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,88,精神病学家,Psychiatrist,psychiatrist,30-80,EDU*4,外语；聆听；医学；说服；精神分析；心理学；科学（生物学；化学）。※参见精神病医生,no,none,none,single-source-canonical,psychiatrist,no,production-batch-2,Batch 2 - structured,production_id=psychiatrist
handbook-88-psychologist-psychoanalyst,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,88,心理学家、心理分析学家,Psychologist / Psychoanalyst,psychologist-psychoanalyst,10-40,EDU*4,会计；图书馆；聆听；说服；精神分析；心理学；任意两项其他学术、个人或时代特长,yes,none,none,single-source-canonical,psychologist-psychoanalyst,no,production-batch-3,Batch 3 - complex / review,production_id=psychologist-psychoanalyst
handbook-89-researcher,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,89,研究员,Researcher,researcher,9-30,EDU*4,历史；图书馆；一项社交技能（魅惑、话术、恐吓、说服）；外语；侦查；任意三项其他学术领域,yes,none,none,single-source-canonical,researcher,no,production-batch-3,Batch 3 - complex / review,production_id=researcher
handbook-89-sailor-naval,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,89,军舰海员,"Sailor, Naval",sailor,9-30,"EDU*2+best(DEX,STR)*2",电工或机械维修；格斗；射击；急救；导航；驾驶（船）；生存（海上）；游泳,no,none,none,mechanical-variant-candidate,sailor,yes,production-batch-3,Batch 3 - complex / review,production_id=sailor-naval
handbook-89-sailor-commercial,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,89,民用船海员,"Sailor, Commercial",sailor,20-40,"EDU*2+best(DEX,STR)*2",急救；机械维修；博物学；导航；一项社交技能（魅惑、话术、恐吓、说服）；驾驶（船）；侦查；游泳,no,none,none,mechanical-variant-candidate,sailor,yes,production-batch-3,Batch 3 - complex / review,production_id=sailor-commercial
handbook-89-salesperson,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,89,推销员,Salesperson,salesperson,9-40,EDU*2+APP*2,会计；两项社交技能（魅惑、话术、恐吓、说服）；汽车驾驶；聆听；心理学；潜行或妙手；一项其他技能,no,none,none,single-source-canonical,salesperson,no,production-batch-2,Batch 2 - structured,production_id=salesperson
handbook-89-scientist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,89,科学家,Scientist,scientist,9-50,EDU*4,任意三项科学专业领域；计算机或图书馆；外语；母语；一项社交技能（魅惑、话术、恐吓、说服）；侦查,yes,none,none,single-source-canonical,scientist,no,production-batch-3,Batch 3 - complex / review,production_id=scientist
handbook-90-secretary,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,90,秘书,Secretary,secretary,9-30,"EDU*2+best(APP,DEX)*2",会计；工艺（打字或速记）；两项社交技能（魅惑、话术、恐吓、说服）；母语；图书馆或计算机；心理学；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,secretary,no,production-batch-3,Batch 3 - complex / review,production_id=secretary
handbook-90-shopkeeper,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,90,店老板,Shopkeeper,shopkeeper,20-40,"EDU*2+best(APP,DEX)*2",会计；两项社交技能（魅惑、话术、恐吓、说服）；电气维修；聆听；机械维修；心理学；侦查,no,none,none,single-source-canonical,shopkeeper,no,production-batch-2,Batch 2 - structured,production_id=shopkeeper
handbook-89-90-soldier-marine,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,89-90,士兵、海军陆战队士兵,Soldier / Marine,soldier-marine,9-30,"EDU*2+best(DEX,STR)*2",攀爬或游泳；闪避；格斗；射击；潜行；生存；下面任选两项：急救、机械维修、外语,no,none,none,canonical-match-across-sources,soldier-marine,no,production-pilot,already implemented,production_id=soldier-marine
handbook-90-spy,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,90,间谍,Spy,spy,20-60,"EDU*2+best(APP,DEX)*2",艺术（表演）或乔装；射击；聆听；外语；一项社交技能（魅惑、话术、恐吓、说服）；心理学；妙手；潜行,no,none,none,single-source-canonical,spy,no,production-batch-2,Batch 2 - structured,production_id=spy
handbook-90-student-intern,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,90,学生、实习生,Student / Intern,student-intern,5-10,EDU*4,语言（母语或外语）；图书馆；聆听；三个和学习内容相关的专业技能；任意两项其他个人或时代特长,yes,none,none,single-source-canonical,student-intern,no,production-pilot,already implemented,production_id=student-intern
handbook-90-stuntman,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,90,替身演员,Stuntman,stunt-performer,10-50,"EDU*2+best(DEX,STR)*2",攀爬；闪避；电气维修或机械维修；格斗；急救；跳跃；游泳；下面任选一项：潜水、汽车驾驶、驾驶（任一）；骑术,no,none,none,single-source-canonical,stunt-performer,no,production-batch-2,Batch 2 - structured,production_id=stunt-performer
handbook-91-tribe-member,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,91,部落成员,Tribe Member,tribe-member,0-15,"EDU*2+best(DEX,STR)*2",攀爬；格斗或投掷；聆听；博物学；神秘学；侦查；游泳；生存（任一）,no,none,none,canonical-match-across-sources,tribe-member,no,production-batch-2,Batch 2 - structured,production_id=tribe-member
handbook-91-undertaker,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,91,殡葬师,Undertaker,undertaker,20-40,EDU*4,会计；汽车驾驶；一项社交技能（魅惑、话术、恐吓、说服）；历史；神秘学；心理学；科学（生物学；化学）,no,none,none,single-source-canonical,undertaker,no,production-batch-2,Batch 2 - structured,production_id=undertaker
handbook-91-union-activist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,91,工会活动家,Union Activist,union-activist,5-50,EDU*4,会计；两项社交技能（魅惑、话术、恐吓、说服）；格斗（斗殴）；法律；聆听；操作重型机械；心理学,no,none,none,single-source-canonical,union-activist,no,production-batch-2,Batch 2 - structured,production_id=union-activist
handbook-91-92-waitress-waiter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,91-92,服务生,Waitress / Waiter,waiter,9-20,"EDU*2+best(APP,DEX)*2",会计；艺术/工艺（任一）；闪避；聆听；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,waiter,no,production-batch-3,Batch 3 - complex / review,production_id=waiter
handbook-91-92-clerk-executive,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,91-92,职员/主管,Clerk / Executive,white-collar-worker,9-20,EDU*4,会计；语言；法律；图书馆或计算机；聆听；一项社交技能（魅惑、话术、恐吓、说服）；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,white-collar-worker,yes,production-batch-3,Batch 3 - complex / review,production_id=white-collar-worker-clerk-executive
handbook-93-middle-senior-manager,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,93,中层、高层管理人员,Middle / Senior Manager,white-collar-worker,20-80,EDU*4,会计；外语；法律；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,white-collar-worker,yes,production-batch-3,Batch 3 - complex / review,production_id=white-collar-worker-middle-senior-manager
handbook-93-zealot,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,93,狂热者,Zealot,zealot,0-30,"EDU*2+best(APP,POW)*2",历史；两项社交技能（魅惑、话术、恐吓、说服）；心理学；潜行；任意三项其他个人或时代特长,yes,none,none,canonical-match-across-sources,zealot,no,production-batch-3,Batch 3 - complex / review,production_id=zealot
