excel_row,excel_index,excel_name,normalized_name,credit_rating,occupation_formula,occupation_skills,contacts_present,description_source_hint,classification,official_family_key,matched_source_entries,mechanics_match,setting_or_source_hint,duplicate_group,recommended_action,confidence,notes
47,45,流浪者,流浪者,0-5,教育×2＋外貌或敏捷或力量×2,攀爬，跳跃，聆听，导航，一项社交技能（取悦、话术、恐吓、说服），潜行，任意两项其他个人或时代特长。,yes,"相对于那些因贫困而苦恼的人，流浪者选择四处漂泊的生活，可能是出于社会、哲学、经济的原因，或只是渴望摆脱社会的约束。
流浪汉需要工作，有时几天或几个月，但他们应对问题时往往选择流动和孤立，而不是舒适和亲近。在美国，这种情况尤其常见，只要旅行本身没有什么危险，就会有人选择漂泊为生。",confirmed-standard,drifter,handbook-78-drifter,yes,Investigator Handbook,,map-to-canonical-family,high,
48,46,司机-私人司机,私人司机,10-40,教育×2＋敏捷×2,汽车驾驶，两项社交技能（取悦、话术、恐吓、说服），聆听，机械维修，导航，侦查，任意一项其他个人或时代特长。,yes,私人司机是直接受雇于个人或企业，或者是专门提供连人带车的私人司机业务的中介机构。,confirmed-standard-variant,driver,handbook-79-chauffeur,yes,Investigator Handbook,,map-to-source-variant,high,
49,47,司机-司机,司机,9-20,教育×2＋力量或敏捷×2,会计，汽车驾驶，聆听，一项社交技能（取悦、话术、恐吓、说服），机械维修，导航，心理学，任意一项其他个人或时代特长。,yes,专职司机可能为企业、个人工作，也可能拥有自己的出租车或货车。通常司机还要通过警方的背景调查，获得特殊的驾驶许可证。,confirmed-standard-variant,driver,handbook-79-driver,yes,Investigator Handbook,,map-to-source-variant,high,
50,48,司机-出租车司机,出租车司机,9-30,教育×2＋敏捷×2,会计，汽车驾驶，电气维修，话术，机械维修，导航，侦查，任意一项其他个人或时代特长。,yes,出租车司机可能属于大大小小的出租车公司，也可能靠自己的车和证件运营(在美国，需要出租车牌照)。出租车公司负责为出租车司机登记车辆并分配调度，方便司机自由揽客。出租车上必须统一安装计价器，并由出租车协会进行定期检查。,confirmed-standard-variant,driver,handbook-79-taxi-driver,yes,Investigator Handbook,,map-to-source-variant,high,
51,49,编辑,编辑,10-30,教育×4,会计，历史，母语，两项社交技能（取悦、话术、恐吓、说服），心理学，侦查，任意一项其他个人或时代特长。,yes,编辑的工作包括审核记者的稿件，撰写报刊社论，应对各种突发事件、到了截稿时间要催稿，编辑工作只好偶尔为之啦。大型报社的编辑数量众多，包括比起新闻编辑更多参与业务运营的主编。其他编辑专门负责时尚、体育或者其他板块。许多小报可能就只有一个编辑，他甚至有可能就是报社的业主或者唯一的全职员工。,confirmed-standard,editor,handbook-79-editor,yes,Investigator Handbook,,map-to-canonical-family,high,
52,50,政府官员,政府官员,50-90,教育×2＋外貌×2,取悦，历史，恐吓，话术，聆听，母语，说服，心理学。,yes,"以民选方式选举出来的政府官员享有与他们的职位相符的声望。小城市的市长和城镇的镇长之类，他们的影响力基本出不了城镇的范围，而且这样的职务基本上是兼职的，报酬也很少。大城市的市长，工资就相当可观了，而且还能把自己的城市管理得像小王国一样，影响力和权力比所在州的州长还要大。
州议会的众参两院议员是相当有面子的职位，尤其是在商界和本州岛的其他业界。
州长负责全州的事务，是联系各州和国家的纽带。
联邦政府拥有最高等级的影响力。众议院议员由各州按本州岛人口所占比重选派的共400 余名议员组成，任期为两年。参议院则是不论各州大小，每州选派两名议员到花生屯任职。任期长达六年，人数不超过一百，所以参议员更是权倾一方，许多年长的议员能够享受总统级的待遇。
在英国，下议院议员由选举产生，任期四到五年；上议院议员则不由选举产生，是世袭制或由君主指任。",confirmed-standard,elected-official,handbook-79-elected-official,yes,Investigator Handbook,,map-to-canonical-family,high,
53,51,工程师,工程师,30-60,教育×4,技艺（技术制图），电气维修，图书馆，机械维修，操作重型机械，科学（工程学，物理），任意一项其他个人或时代特长。,yes,工程师精通机械和电气设备，可能在民间或军工企业工作，也可能是个发明家。他们擅长应用科学、数学知识和丰富的创造思维，解决各种技术问题。,confirmed-standard,engineer,handbook-79-engineer,yes,Investigator Handbook,,map-to-canonical-family,high,
54,52,艺人,艺人,9-70,教育×2＋外貌×2,技艺（表演类，如表演、演唱、喜剧等），乔装，两项社交技能（取悦、话术、恐吓、说服），聆听，心理学，任意两项其他个人或时代特长。,yes,"艺人包括小丑、歌手、舞蹈演员、喜剧演员、杂耍艺人、魔术师，各种以在人前表演谋生的人。他们乐于向更多的人表现自己的能力，并期待观众回报的掌声。
在1920 年代，这一职业并不受人尊重。不过1920 年代好莱坞明星的高薪彻底改变了很多人的想法，现在这个职业背景已经通常被视作是优势了。",confirmed-standard,entertainer,handbook-79-entertainer,yes,Investigator Handbook,same-name:艺人,map-to-canonical-family,high,
55,53,探险家（古典）,探险家（古典）,55-80,教育×2＋外貌或敏捷或力量×2,攀爬或游泳，射击，历史，跳跃，自然，导航，外语，生存。,yes,"在20 世纪早期，这世界还有许多地区尚未有人涉足，而探索这些地方正是探险家的工作。这种令人兴奋不已的生活方式，其经济来源则是科学界的赞助、私人的捐赠、博物馆的委托和报纸杂志图书电影的版权等等。
黑非洲的大部分仍然不为人知，同样的地方还包括了南美的马托格罗索高原，澳大利亚的大沙沙漠，撒哈拉和阿拉伯沙漠，和亚洲的茫茫戈壁。尽管南北极点已经被探险家征服了，但周围很大部分的地区仍然是未知的。",confirmed-standard,explorer,handbook-80-explorer,yes,Investigator Handbook,,map-to-canonical-family,high,
56,54,农民,农民,9-30,教育×2＋力量或敏捷×2,技艺（耕作），汽车驾驶（或运货马车），一项社交技能（取悦、话术、恐吓、说服），机械维修，自然，操作重型机械，追踪，任意一项其他个人或时代特长,yes,"农民可能自己拥有土地，自己从事农牧业，也可能是受雇在农场工作。农业劳动繁重而枯燥，特别适合那些喜欢户外体力劳动的人。
1920 年代是美国城镇人口超过农村人口的首个十年。从这时起一直到现在，自耕农民都在受到规模化农业企业和剧烈波动的农产品市场的双重冲击。",confirmed-standard,farmer,handbook-80-farmer,yes,Investigator Handbook,,map-to-canonical-family,high,
57,55,联邦探员,联邦探员,20-40,教育×4,汽车驾驶，格斗（斗殴），射击，法律，说服，潜行，侦查，任意一项其他个人或时代特长。,yes,联邦执法机构和特工种类各异。有些身着制服，比如美国司法部的人员；另外一些则穿便服，工作内容也类似警探，比如联邦调查局的人员。,confirmed-standard,federal-agent,handbook-80-federal-agent,yes,Investigator Handbook,,map-to-canonical-family,high,
58,56,消防员,消防员,9-30,教育×2＋力量或敏捷×2,攀爬，闪避，汽车驾驶，急救，跳跃，机械维修，操作重型机械，投掷。,yes,消防员是公职人员，通常为所管辖的小区服务。他们夜以继日地工作，或者连续几天的倒班工作，吃住包括娱乐活动都要局限在消防局里。消防员的管理结构类似军队，职位包括中尉、上尉和局长等等。,confirmed-standard,firefighter,handbook-80-firefighter,yes,Investigator Handbook,,map-to-canonical-family,high,
59,57,驻外记者,驻外记者,10-40,教育×4,历史，外语，母语，聆听，两项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他个人或时代特长。,yes,"驻外记者是新闻界的精英人才。他们拿着固定工资,靠报销单环游全世界。在 1920 年代,驻外记者通常供职于大型报社、广播电台、或者国家级通讯社。当代的驻外记者也可能自由撰稿或 者为电视台、网络通讯社和国际新闻通讯社工作。
这个职业的工作内容五花八门,经常能激动人心。不过博物学灾害、政治动荡和战争也会成为驻外记者报导的主要内容,工作也不总是一帆风 顺。",confirmed-standard,foreign-correspondent,handbook-80-foreign-correspondent,yes,Investigator Handbook,,map-to-canonical-family,high,
60,58,法医,法医,40-60,教育×4,外语（拉丁文），图书馆，医学，说服，科学（生物学，药学，司法科学），侦查。,yes,"法医是一个高度专门化的职业,大多数法医为市、县或州执法机构工作。工作内容包括尸体解剖,推定死因,并为公诉人提供建议。法医也常常会在刑事审判中出庭提供证言。",confirmed-standard,forensic-surgeon,handbook-80-forensic-surgeon,yes,Investigator Handbook,,map-to-canonical-family,high,
61,59,赌徒,赌徒,8-50,教育×2＋外貌或敏捷×2,会计，技艺（表演），两项社交技能（取悦、话术、恐吓、说服），聆听，心理学，妙手，侦查。,yes,"赌徒是罪犯世界里最花哨的一群人。他们衣 着光鲜,不论朴实还是华丽都魅力四射。不论是靠赛马、纸牌游戏还是其他赌博方式,他们总是要凭自己的运气过活。
老练的赌徒会频繁地光顾犯罪组织开设的地 下赌场。少数赌场高手可能经常参加漫长而又一掷千金的豪赌,甚至可能有外部利益集团作为后台。
低级的赌徒则出入于狭窄的小巷,在骰子房 耍弄灌铅的骰子,或者是挤坐在阴暗的台球室里。",confirmed-standard,gambler,handbook-81-gambler,yes,Investigator Handbook,,map-to-canonical-family,high,
62,60,黑帮-黑帮老大,黑帮老大,60-95,教育×2＋外貌×2,格斗，射击，法律，聆听，两项社交技能（取悦、话术、恐吓、说服），心理学，侦查。,yes,"黑帮可能是整个城市、一部分城市的大佬, 也可能只是给这些大佬打工的马仔。马仔们通常 有自己的保护范围,比如监管非法运输和收取保 护费等等。老板总管业务,负责交易,并要就各 种各样的问题给马仔们拿主意。更重要的是,老 板可以各种高人一等,只要能找到马仔或者小弟 去干的事,他基本是不肯污了自己的手去做的。
黑社会在 1920 年代上升为突出的社会问题。本来仅限于在本地收收保护费和管管赌场的外国 裔黑帮,不约而同地发现了贩卖私酒带来的巨大 利润。没过多久,他们就掌控了城市的大片区域, 并在街上和其他黑帮火并。虽然大部分黑帮是按 来源的民族划分——如爱尔兰裔、意大利裔、非 洲裔和犹太裔,黑帮的成员仍然可能是任何民族。
如今,贩毒则取代其他,成为多数黑帮中来 钱最快的犯罪门路。和 1920 年代前辈的工作方法 类似,现在的黑帮老大也需要大量的小弟来负责 保卫、推广、在街道里推行自己的业务。
除去贩私酒和贩毒以外,卖淫、保护、赌博、 腐败等等都是这些犯罪组织的业务范围。",confirmed-standard-variant,gangster,handbook-81-gangster-boss,yes,Investigator Handbook,,map-to-source-variant,high,
63,61,黑帮-马仔,马仔,9-20,教育×2＋力量或敏捷×2,汽车驾驶，格斗，射击，两项社交技能（取悦、话术、恐吓、说服），心理学，任意两项其他个人或时代特长。,yes,"黑帮可能是整个城市、一部分城市的大佬, 也可能只是给这些大佬打工的马仔。马仔们通常 有自己的保护范围,比如监管非法运输和收取保 护费等等。老板总管业务,负责交易,并要就各 种各样的问题给马仔们拿主意。更重要的是,老 板可以各种高人一等,只要能找到马仔或者小弟 去干的事,他基本是不肯污了自己的手去做的。
黑社会在 1920 年代上升为突出的社会问题。本来仅限于在本地收收保护费和管管赌场的外国 裔黑帮,不约而同地发现了贩卖私酒带来的巨大 利润。没过多久,他们就掌控了城市的大片区域, 并在街上和其他黑帮火并。虽然大部分黑帮是按 来源的民族划分——如爱尔兰裔、意大利裔、非 洲裔和犹太裔,黑帮的成员仍然可能是任何民族。
如今,贩毒则取代其他,成为多数黑帮中来 钱最快的犯罪门路。和 1920 年代前辈的工作方法 类似,现在的黑帮老大也需要大量的小弟来负责 保卫、推广、在街道里推行自己的业务。
除去贩私酒和贩毒以外,卖淫、保护、赌博、 腐败等等都是这些犯罪组织的业务范围。",confirmed-standard-variant,gangster,handbook-81-gangster-underling,yes,Investigator Handbook,,map-to-source-variant,high,
64,62,绅士、淑女,绅士、淑女,40-90,教育×2＋外貌×2,技艺（任一），两项社交技能（取悦、话术、恐吓、说服），射击（步枪/霰弹枪），历史，外语（任一），导航，骑乘。,yes,"绅士淑女指的是有良好的教养品行、举止彬彬有礼的人。通常用来称呼上流社会(通过继承 或津贴)拥有相当财富的人。
在上世纪 20 年代,这样的人至少要有一个仆 人(管家、男仆、女仆、私人司机),还要有城 市或乡村的宅第。家庭的富有并不重要,因为家庭的社会地位往往比财产更被上流社会所看重。",confirmed-standard,gentleman-lady,handbook-81-gentleman-lady,yes,Investigator Handbook,,map-to-canonical-family,high,
65,63,游民,游民,0-5,教育×2＋外貌或敏捷×2,技艺（任一），攀爬，跳跃，聆听，锁匠或妙手，导航，潜行，任意一项其他个人或时代特长。,yes,"游民只有少数的人愿意去当,虽然失业的人、 醉倒在阴沟里的醉鬼到处都是。和流浪者只会在 必需时才工作不同,游民的工作本身就是流浪。
他们不断地坐火车旅行,从一个城市辗转到 另一个城市,他们是身无分文的诗人、漂泊者, 铁路上的探索者、冒险者和盗贼。但是铁路上的生活一样充满危险。且不说穷困潦倒、无家可归, 还要面对来自警察、周围居民和铁路员工的敌意。另外在深夜中跳车并不是一件容易的事,在跳车的时候被车厢夹断过手脚的人可是不可胜数。",confirmed-standard,hobo,handbook-81-hobo,yes,Investigator Handbook,,map-to-canonical-family,high,
66,64,勤杂护工,勤杂护工,6-15,教育×2＋力量×2,电气维修，一项社交技能（取悦、话术、恐吓、说服），格斗（斗殴），急救，聆听，机械维修，心理学，潜行。,yes,"勤杂护工在医院的工作包括倒垃圾、打扫房间、运送病人,还有一些其他乱七八糟的工作。总之对他们的要求不比对看门人多多少。",confirmed-standard,hospital-orderly,handbook-82-hospital-orderly,yes,Investigator Handbook,,map-to-canonical-family,high,
67,65,记者(原作向)-调查记者,调查记者,9-30,教育×4,技艺（艺术或摄影），一项社交技能（取悦、话术、恐吓、说服），历史，图书馆，母语，心理学，任意两项其他个人或时代特长。,yes,"记者用文字对当天的新闻事件进行报导与评 论,一天之内就要完成一个作家一周的工作量。他们通常为报纸、杂志、广播电台、电视台或者新闻网站撰稿。
优秀的调查记者在报导事件的同时,即使面对丑恶,也能保持自身的清廉正直。恶心的记者则被现实所压倒,最终丧失自己的节操,肆意操纵文字歪曲真相。",confirmed-standard-variant,journalist,handbook-81-82-investigative-journalist,yes,Investigator Handbook,,map-to-source-variant,high,
68,66,记者(原作向)-通讯记者,通讯记者,9-30,教育×4,技艺（表演），历史，聆听，母语，一项社交技能（取悦、话术、恐吓、说服），心理学，潜行，侦查。,yes,"通讯记者则是新闻传媒行业大军中的一员, 不管是自由撰稿或是在报社、杂志社、新闻网站、 通讯社工作。大部分记者从事实地工作,包括走 访见证人、查看记录、收集叙述。有些记者被安 排专门追踪警界、体育界或商界的热点新闻,其他人则是负责社会事件乃至园艺俱乐部之类的事情。
通讯记者都会携带记者证,不过记者证除了 各通讯社(主要是报社)用来识别自己的雇员以 外没有太大的作用。实际上记者的工作内容更像 私家侦探,有时为了获得第一手消息也难免使点嘴上花招。",confirmed-standard-variant,journalist,handbook-81-82-reporter,yes,Investigator Handbook,,map-to-source-variant,high,
69,67,法官,法官,50-80,教育×4,历史，恐吓，法律，图书馆，聆听，母语，说服，心理学。,yes,"法官是主持审判全过程的人,可能单独工作或是和同事组成合议庭。一般是推选或任命制, 工作年限也分定期和终身。有的人是初出茅庐就当了法官,而其余的绝大多数,不论是在联邦最高法院还是遥远西部小镇的法官,其实至少都是经过注册的律师。",confirmed-standard,judge,handbook-82-judge,yes,Investigator Handbook,,map-to-canonical-family,high,
70,68,实验室助理,实验室助理,10-30,教育×4,计算机或图书馆，电气维修，外语，科学（化学和任意两项），侦查，任意一项其他个人特长。,yes,"实验室助理在科研环境中工作,在首席科学家的监督下进行实验和行政工作。
研究内容可能依首席科学家的研究学科而变 化。但基本都包括取样、测试、记录和分析数据、 调整和进行实验、制备标本和样品、管理实验室的日常工作,和保护工作人员的健康与安全。",confirmed-standard,laboratory-assistant,handbook-82-laboratory-assistant,yes,Investigator Handbook,,map-to-canonical-family,high,
71,69,工人-非熟练工人,非熟练工人,9-30,教育×2＋力量或敏捷×2,汽车驾驶，电气维修，格斗，急救，机械维修，操作重型机械，投掷，任意一项其他个人或时代特长。,yes,"工人这一大类职业包括工厂工人、纺织工人、 码头工人、养路工人、矿工、建筑工人等等。工人分为两种类型:熟练工和非熟练工。普通的工人虽然技术不熟练,但是仍然长于使用电动工具、 起重机和其他工厂设备。",confirmed-standard-variant,laborer,handbook-82-laborer-unskilled,yes,Investigator Handbook,,map-to-source-variant,high,
72,70,工人-伐木工,伐木工,9-30,教育×2＋力量或敏捷×2,攀爬，闪避，格斗（链锯），急救，跳跃，机械维修，自然或科学（生物学或植物学），投掷。,yes,"工人这一大类职业包括工厂工人、纺织工人、 码头工人、养路工人、矿工、建筑工人等等。工人分为两种类型:熟练工和非熟练工。普通的工人虽然技术不熟练,但是仍然长于使用电动工具、 起重机和其他工厂设备。",confirmed-standard-variant,laborer,handbook-82-lumberjack,yes,Investigator Handbook,,map-to-source-variant,high,
73,71,工人-矿工,矿工,9-30,教育×2＋力量或敏捷×2,攀爬，科学（地质），跳跃，机械维修，操作重型机械，潜行，侦查，任意一项其他个人或时代特长。,yes,"工人这一大类职业包括工厂工人、纺织工人、 码头工人、养路工人、矿工、建筑工人等等。工人分为两种类型:熟练工和非熟练工。普通的工人虽然技术不熟练,但是仍然长于使用电动工具、 起重机和其他工厂设备。",confirmed-standard-variant,laborer,handbook-83-miner,yes,Investigator Handbook,,map-to-source-variant,high,
74,72,律师,律师,30-80,教育×4,会计，法律，图书馆，两项社交技能（取悦、话术、恐吓、说服），心理学，两项其他技能。,yes,"律师或法律顾问精通他们所在地区的法律，擅长把抽象的法学理论知识联系起来，为客户解决法律方面的疑难，担任辩护代理、法律顾问的工作，为客户提供解决办法。可能受托处理个人案件、接受法院指定，也可能专门为某个富裕客户或公司服务。
在美国，“律师”一词一般只指辩护律师。在英国，“律师”一词则包括高级律师、初级律师还有一些执法机构。
假如碰上好客户的话，律师自己也可以一战成名，少数律师还能以自己在政治经济方面的获益吸引媒体的关注。",confirmed-standard,lawyer,handbook-83-lawyer,yes,Investigator Handbook,same-name:律师,map-to-canonical-family,high,
75,73,图书馆管理员（原作向）,图书馆管理员（原作向）,9-35,教育×4,会计，图书馆，外语，母语，任意四项其他个人特长或专业书籍主题。,yes,"图书馆管理员在公共机构和图书馆工作，负责管理图书目录和书库，并处理图书借阅等。在现代，图书馆管理员还要负责管理视听数据、电子书库。
一些大公司可能聘用图书馆管理员管理书库，偶尔还会有富有的图书藏家招收他们管理自己的私人藏书。",confirmed-standard,librarian,handbook-83-librarian,yes,Investigator Handbook,,map-to-canonical-family,high,
76,74,技师,技师,9-40,教育×4,技艺（木工、焊接、管道工等），攀爬，汽车驾驶，电气维修，机械维修，操作重型机械，任意两项其他个人或时代或技术特长。,yes,技师包括所有需要专业训练和作为学徒或实习生工作经验的职业，例如木工、石工、管道工、电气维修、设备安装工人、机修工人等等这些需要技术资质的职业。通常这些工人有自己的工会组织，会和承包人和雇主争取自己的权益。,confirmed-standard,mechanic,handbook-83-mechanic-and-skilled-trades,yes,Investigator Handbook,,map-to-canonical-family,high,
77,75,军官,军官,20-70,教育×2＋力量或敏捷×2,会计，射击，导航，急救，两项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他个人或时代特长。,yes,"军官有严格的等级，许多等级还需要高等教育学历。各国武装部队都建立了人才培养系统，其中包括大学教育。在美国，许多大学开设军校生训练项目，可以让学员同时接受文化教育和军事训练。毕业的学员可以授以陆军或海军少尉军衔，并分派到各驻地。他们通常会为国家服役四年，之后可以退役覆员。许多人有专门的任命，作为医生、律师和工程师工作。
寻求军旅生涯的人会为进入西点军校和美国海军军官学校这样的著名军校而努力，拥有这些名校学历很容易得到其他军官的尊敬。离开学校以后，许多军官也会选择接受飞行训练等特殊训练。
富有经验，特别值得提升的士兵会被破例提拔为一级准尉。虽然在名义上位列最末，获得这一军衔所需要的时间和经验意味着他们远比普通的初中级军官更受尊敬。绝大多数军衔是终身荣誉，退役多年的军官仍然可以自称上尉或者将军。",confirmed-standard-variant,military-officer,handbook-83-military-officer,yes,Investigator Handbook,,map-to-source-variant,high,
78,76,传教士,传教士,0-30,教育×2＋外貌×2,技艺（任一），急救，机械维修，医学，自然，一项社交技能（取悦、话术、恐吓、说服），任意两项其他个人或时代特长。,yes,"传教士云游到世界的各个角落，传播神的旨意，在文明的地方拯救“不幸的原始人”和“迷途的灵魂”。他们可能属于天主教、新教、伊斯兰教或者其他信仰系统，比如后期圣徒教会(摩门教)在欧美就有专门的传道所。
有的传教士只凭自己的意志独立行动，有的则可能有教会以外的组织支持。
基督教、伊斯兰教的传教者，佛教、印度教的法师，在全世界各个时代都能遇到。",confirmed-standard-variant,missionary,handbook-83-84-missionary,yes,Investigator Handbook,,map-to-source-variant,high,
79,77,登山家,登山家,30-60,教育×2＋力量或敏捷×2,攀爬，急救，跳跃，聆听，导航，外语，生存（阿尔卑斯或类似），追踪。,yes,"登山家一般都是利用业余时间和假期的运动员，只有少数攀登著名高山的人才会去寻找财力和设备的赞助。
19 世纪登山运动开始兴起，到了1920 年代，所有美洲和阿尔卑斯地区的主要山峰都被一一征服。经过与西藏人的冗长谈判之后，外国登山队终于获准进入喜马拉雅山的高峰地区。作为世界上最后未被征服的高峰，对珠峰的进军经常被电台和报纸报道。不过1921、1922、1924 年的三次远征都没能达到峰顶，还造成了13 人死亡。
到了现代，登山可以是休闲运动或职业选择。如果是后者，则工作内容包括教练、向导、运动员或救生员等。
(译注：1920 年代的登山队都是取道中国境内的北坡，故正是与西藏地方政府进行的商谈。)",confirmed-standard,mountain-climber,handbook-84-mountain-climber,yes,Investigator Handbook,,map-to-canonical-family,high,
80,78,博物馆管理员,博物馆管理员,10-30,教育×4,会计，估价，考古，历史，图书馆，神秘学，外语，侦查。,yes,博物馆管理员可能负责大学或其他公共机构的大型设施，也可能负责小一些的博物馆，往往对本地的地质或者其他的内容颇有研究。,confirmed-standard,museum-curator,handbook-84-museum-curator,yes,Investigator Handbook,,map-to-canonical-family,high,
81,79,音乐家,音乐家,9-30,教育×2＋意志或敏捷×2,技艺（乐器），一项社交技能（取悦、话术、恐吓、说服），聆听，心理学，四项其他技能。,yes,"音乐家可能加入乐团、乐队或者独奏，演奏的乐器则可以是任何你能想象的种类。音乐家想出人头地十分困难，签约发布唱片就更难了。所以绝大多数音乐家都贫穷又无人关注，只靠街头卖艺勉强维持生计。少数幸运儿可以找到固定工作，比如在酒吧、宾馆或者市交响乐团弹钢琴。对更少的人来说，在正确的时间出现在正确的地点，再加上一点点天赋，就能获得巨大的成功和可观的财富。
1920 年代是爵士乐的年代，众多的音乐家在美国各地的大中城市、城镇里的爵士乐队和交响乐队工作。少数音乐家住在芝加哥和纽约之类的大城市并在那里打拼，而大部分的人靠巴士、汽车或者火车过着旅行生活。",confirmed-standard,musician,handbook-84-musician,yes,Investigator Handbook,,map-to-canonical-family,high,
82,80,护士,护士,9-30,教育×4,急救，聆听，医学，一项社交技能（取悦、话术、恐吓、说服），心理学，科学（生物学，化学），侦查。,yes,护士是专业的医疗助理，通常在医院和疗养院之类的地方工作，或者和全科医生一起合作。一般来说，护士会协助健康人或病人进行保健或康复活动(或者临终关怀)，虽然其他人若是有足够的力量、意志或者知识，完全不需要护士帮助的康复也是可能的。,confirmed-standard,nurse,handbook-84-nurse,yes,Investigator Handbook,,map-to-canonical-family,high,
83,81,神秘学家,神秘学家,9-65,教育×4,人类学，历史，图书馆，一项社交技能（取悦、话术、恐吓、说服），神秘学，外语，科学（天文），任意一项其他个人或时代特长 ※经KP允许 可以包含克苏鲁神话,yes,"神秘学家是钻研深奥秘密和神秘魔法的人。他们对超博物学能力深信不疑，并竭尽所能靠他们的能力去了解这些东西。许多人对不同神秘哲学和魔法理论的知识面都相当广泛，有些甚至相信自己专注研究三十年真的成为了魔法师——到底是真是假就交由KP 来决断了。
需要指出的是，神秘学家熟知的基本上是“表面的魔法”——克苏鲁神话魔法的秘密对他们仍然是未知的，或者不过是古书上描述那些诱人的线索而已。",confirmed-standard,occultist,handbook-84-occultist,yes,Investigator Handbook,,map-to-canonical-family,high,
84,82,旅行家,旅行家,5-20,教育×2＋力量或敏捷×2,射击，急救，聆听，自然，导航，侦查，生存（任一），追踪。,yes,"旅行家爱好户外，他们一年中大部分时间都呆在户外，并且一出门就是相当长的时间；通常有相当的捕鱼和狩猎技术，能在最恶劣的环境之中幸存下来。擅长的技术可能包括登山、捕鱼、滑雪、皮划艇、攀登和露营。
旅行家可能在国家公园或素质拓展中心做野外向导和护林员，也可能是有其他经济来源能让他们不用工作就能以这种方式生活，说不定还可能是一个隐士，只有在需要的时候才会回到文明社会。",confirmed-standard,outdoorsperson,handbook-85-outdoorsman-outdoorswoman,yes,Investigator Handbook,,map-to-canonical-family,high,
85,83,超心理学家,超心理学家,9-30,教育×4,人类学，技艺（摄影），历史，图书馆，神秘学，外语，心理学，任意一项其他个人或时代特长。,yes,"超心理学家从不打算欣赏超常现象。相反，他们试图去观察，记录并研究这些实例。被叫做“捉鬼人”的他们利用技术手段来获取某人或某地点的超博物学活动的证据，当然比起收集到实在的证据，更多的时候他们是在揭穿假冒和误认的超常现象。
一些超心理学家专门研究特定的现象，例如超感官、心灵致动、闹鬼等等。
名牌大学是没有超心理学学位的。这个领域成就的评判标准完全是基于个人声誉，所以一般有相近学科学历比如物理学、心理学和医学的人会比较有说服力。
选择研究这个的人往往对不可视的神秘力量抱有相当的同情态度，并希望其他的科学家也能满意地点头肯定。这就表现出了一种既相信又怀疑的奇异的迭加态——恐怕超心理学家自己也难解决这个问题。一个对观察实验证明不感兴趣的人是个神秘学家而不是个科学家。",confirmed-standard,parapsychologist,handbook-85-parapsychologist,yes,Investigator Handbook,,map-to-canonical-family,high,
86,84,药剂师,药剂师,35-75,教育×4,会计，急救，外语（拉丁文），图书馆，一项社交技能（取悦、话术、恐吓、说服），心理学，科学（制药，化学）。,yes,药剂师的管理一直以来都比医生更严格。所有的药剂师都要在各州注册，注册的条件则是高中毕业并至少在药学院学习三年。他们可能在医院或者药房工作，也可能自己开药房。,confirmed-standard,pharmacist,handbook-86-pharmacist,yes,Investigator Handbook,,map-to-canonical-family,high,
87,85,摄影师-摄影师,摄影师,9-30,教育×4,技艺（摄影），一项社交技能（取悦、话术、恐吓、说服），心理学，科学（化学），潜行，侦查，任意两项其他个人或时代特长。,yes,"摄影师大部分是自由工作者，可能制作广告电影或者在照相馆做肖像拍摄。其他一些摄像师则在报纸、电视和电影产业工作。
摄影作为一种艺术形式已经产生相当长的时间了，精英的摄影师可以从艺术、新闻报道、野生动物保护等多种角度出发创作他们的作品。不管是哪种立意，他们都能获得名誉和报酬。
摄影记者本质上就是拿照相机，为拍摄的照片写配文的记者。在1920 年代，新闻短片走上历史舞台。笨重的35mm 摄像装备走遍全球各地，搜寻有价值的新闻轶事、体育赛事和泳装选美比赛。新闻片制作人员一般分为三类：一类是画面中的记者，另两个人则负责摄像和灯光等等。新闻中的声音则是在新闻稿完成以后在录音棚中录入完成的。",confirmed-standard-variant,photographer,handbook-86-photographer,yes,Investigator Handbook,,map-to-source-variant,high,
88,86,摄影师-摄影记者,摄影记者,10-30,教育×4,技艺（摄影），攀爬，一项社交技能（取悦、话术、恐吓、说服），外语，心理学，科学（化学），任意两项其他个人或时代特长。,yes,"摄影师大部分是自由工作者，可能制作广告电影或者在照相馆做肖像拍摄。其他一些摄像师则在报纸、电视和电影产业工作。
摄影作为一种艺术形式已经产生相当长的时间了，精英的摄影师可以从艺术、新闻报道、野生动物保护等多种角度出发创作他们的作品。不管是哪种立意，他们都能获得名誉和报酬。
摄影记者本质上就是拿照相机，为拍摄的照片写配文的记者。在1920 年代，新闻短片走上历史舞台。笨重的35mm 摄像装备走遍全球各地，搜寻有价值的新闻轶事、体育赛事和泳装选美比赛。新闻片制作人员一般分为三类：一类是画面中的记者，另两个人则负责摄像和灯光等等。新闻中的声音则是在新闻稿完成以后在录音棚中录入完成的。",confirmed-standard-variant,photographer,handbook-86-photojournalist,yes,Investigator Handbook,,map-to-source-variant,high,
